 # Jupiter model, Ptrans=7 Mbar, rock core 
 # m/Mp         P (GPa)    r/Rmean   T(K)   rho(g/ccm)
 0.9988715804   0.902208   0.98145  2360.8  0.0725079 
 0.9988636733   0.908662   0.98140  2365.0  0.0727943 
 0.9988557357   0.915143   0.98135  2369.1  0.0730809 
 0.9988477678   0.921650   0.98130  2373.3  0.0733678 
 0.9988397695   0.928183   0.98125  2377.5  0.0736549 
 0.9988317407   0.934742   0.98120  2381.6  0.0739423 
 0.9988236815   0.941327   0.98115  2385.8  0.0742299 
 0.9988155918   0.947939   0.98110  2389.9  0.0745178 
 0.9988074716   0.954577   0.98105  2394.1  0.0748059 
 0.9987993210   0.961241   0.98100  2398.2  0.0750942 
 0.9987911397   0.967932   0.98095  2402.3  0.0753828 
 0.9987829279   0.974649   0.98090  2406.4  0.0756716 
 0.9987746855   0.981392   0.98085  2410.6  0.0759607 
 0.9987664126   0.988162   0.98080  2414.7  0.0762500 
 0.9987581090   0.994958   0.98075  2418.8  0.0765395 
 0.9987497748   1.001781   0.98070  2422.9  0.0768293 
 0.9987414099   1.008630   0.98065  2427.0  0.0771194 
 0.9987330144   1.015505   0.98060  2431.1  0.0774096 
 0.9987245881   1.022408   0.98055  2435.2  0.0777001 
 0.9987161311   1.029336   0.98050  2439.2  0.0779909 
 0.9987076435   1.036292   0.98045  2443.3  0.0782818 
 0.9986991250   1.043274   0.98040  2447.4  0.0785730 
 0.9986905758   1.050282   0.98035  2451.5  0.0788645 
 0.9986819958   1.057318   0.98030  2455.5  0.0791562 
 0.9986733850   1.064380   0.98025  2459.6  0.0794481 
 0.9986647436   1.071468   0.98020  2463.6  0.0797360 
 0.9986560718   1.078583   0.98015  2467.6  0.0800232 
 0.9986473698   1.085725   0.98010  2471.6  0.0803106 
 0.9986386374   1.092892   0.98005  2475.5  0.0805981 
 0.9986298748   1.100086   0.98000  2479.5  0.0808859 
 0.9986210817   1.107307   0.97995  2483.5  0.0811738 
 0.9986122584   1.114553   0.97990  2487.4  0.0814619 
 0.9986034046   1.121826   0.97985  2491.4  0.0817503 
 0.9985945205   1.129126   0.97980  2495.4  0.0820388 
 0.9985856060   1.136452   0.97975  2499.3  0.0823275 
 0.9985766610   1.143805   0.97970  2503.2  0.0826164 
 0.9985676856   1.151184   0.97965  2507.2  0.0829055 
 0.9985586798   1.158589   0.97960  2511.1  0.0831948 
 0.9985496435   1.166022   0.97955  2515.1  0.0834843 
 0.9985405768   1.173480   0.97950  2519.1  0.0837741 
 0.9985314795   1.180966   0.97945  2523.1  0.0840640 
 0.9985223517   1.188478   0.97940  2527.1  0.0843541 
 0.9985131935   1.196017   0.97935  2531.1  0.0846445 
 0.9985040046   1.203582   0.97930  2535.1  0.0849350 
 0.9984947852   1.211174   0.97925  2539.0  0.0852257 
 0.9984855353   1.218793   0.97920  2543.0  0.0855166 
 0.9984762548   1.226438   0.97915  2547.0  0.0858076 
 0.9984669437   1.234111   0.97910  2551.0  0.0860989 
 0.9984576020   1.241810   0.97905  2554.9  0.0863903 
 0.9984482296   1.249536   0.97900  2558.9  0.0866820 
 0.9984388266   1.257288   0.97895  2562.8  0.0869738 
 0.9984293930   1.265068   0.97890  2566.8  0.0872658 
 0.9984199287   1.272875   0.97885  2570.7  0.0875580 
